objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587739863643523359,4682,40,6,207,2335,3,259.05748097,43.16915474,24.299341,22.768848,22.407505,21.892227,21.127447,1.108567,0.132381,0.139797,0.141052,0.264427
587739863643523644,4682,40,6,207,2620,3,259.08166639,43.20844403,25.410923,24.934761,22.330374,25.078171,23.741306,1.088769,0.655338,0.15899,0.658947,0.542719
587739863643523784,4682,40,6,207,2760,6,259.06164242,43.17789607,23.97242,24.317518,23.783207,22.284622,22.958385,0.936891,0.406145,0.400989,0.214825,0.581109
587739863643652254,4682,40,6,209,158,6,259.20607869,42.97940078,19.310431,18.383482,18.162724,18.060492,18.046398,0.029257,7.028086E-3,6.960115E-3,8.214946E-3,0.021046
587739863643652255,4682,40,6,209,159,6,259.20736969,42.97919298,23.116642,23.894529,22.394558,21.379675,21.346966,0.592222,0.322396,0.139713,0.095482,0.324162
587739863643652727,4682,40,6,209,631,6,259.20070729,42.98217452,21.547657,20.431368,20.088736,19.994917,19.728966,0.149708,0.020796,0.02063,0.028361,0.077694
587739863643652728,4682,40,6,209,632,6,259.20232069,42.98082439,21.990553,20.897978,20.552935,20.277065,20.328283,0.213615,0.028137,0.028468,0.034981,0.126919
587739863643652803,4682,40,6,209,707,6,259.21709096,42.97962169,21.259979,20.355661,20.027639,19.93716,19.932631,0.11928,0.020152,0.020259,0.028152,0.093832
587739863643652852,4682,40,6,209,756,6,259.22537596,42.97629955,20.477352,19.759621,19.479778,19.384529,19.339132,0.064057,0.01415,0.014027,0.018746,0.056687
587739863643652890,4682,40,6,209,794,6,259.24286499,42.97195572,20.706404,19.893364,19.606531,19.488758,19.396013,0.074024,0.014935,0.015416,0.020444,0.058619
587739863643653315,4682,40,6,209,1219,6,259.19770874,42.98110832,23.690491,22.555738,20.972326,19.633423,18.806534,0.791015,0.101563,0.04064,0.023848,0.038055
587739863643653485,4682,40,6,209,1389,3,259.18409011,42.98571261,25.917231,21.665716,19.970896,19.260487,18.828678,1.084081,0.084873,0.029215,0.025827,0.062375
587739863643653494,4682,40,6,209,1398,3,259.189621,42.98630577,23.37328,22.619202,21.110981,19.899872,19.511339,1.013065,0.161377,0.06472,0.038097,0.095164
587739863643653591,4682,40,6,209,1495,6,259.21069961,42.98018562,23.682207,22.96476,23.35211,22.786396,23.393578,0.892849,0.15745,0.311969,0.322807,0.560659
587739863643653641,4682,40,6,209,1545,3,259.22854487,42.97659507,24.289871,22.82991,22.175718,21.700083,22.060591,1.67491,0.19905,0.166192,0.181964,0.773951
